density (kg/m3), rho (kg/m3),Rho,,
heat capacity (J/kg/C), Heat Capacity (J/kg/░C), Heat Capacity (J/kg/°C),HeatCap,
thermal conductivity (W/m/C), k (W/m/K), Thermal Conductivity (W/m/░C), Thermal Conductivity (W/m/°C),K
heat transfer rate (ml/min/kg),,,,
blood perfusion (W/m3/K),BldFlow,,,
heat generation rate (W/kg),,,,
metabolic heat (W/m3),Metabol,,,
epsinf, ef,,,
sigmaion, sig,,,
deltaeps1, del1,,,
deltaeps2, del2,,,
deltaeps3, del3,,,
deltaeps4, del4,,,
tau1, tau1 (ps),,,
tau2, tau2 (ns),,,
tau3, tau3 (Ąs), tau3 (µs),,
tau4, tau4 (ms),,,
alpha1, alf1,,,
alpha2, alf2,,,
alpha3, alf3,,,
alpha4, alf4,,,
